"F1SEQ1_MAJOR","P"
"BMGT",0.265651438240271
"ACCT",0.157360406091371
"EXPL",0.0930626057529611
"MKTG",0.0930626057529611
"FIN",0.065989847715736
"ENTR",0.0338409475465313
"CIS",0.027072758037225
"MMTG",0.0203045685279188
"PBMT",0.0186125211505922
"CS",0.0169204737732657
"PNUR",0.0135363790186125
"ECON",0.011844331641286
"SPAD",0.011844331641286
"VCD",0.011844331641286
"PACT",0.0101522842639594
"ARCH",0.00846023688663283
"ID",0.00846023688663283
"PFIN",0.00846023688663283
"AERN",0.00676818950930626
"FM",0.00676818950930626
"NEWS",0.00676818950930626
"AEDG",0.0050761421319797
"ATTR",0.0050761421319797
"BSCI",0.0050761421319797
"CRFT",0.0050761421319797
"EXSI",0.0050761421319797
"IMTH",0.0050761421319797
"MATH",0.0050761421319797
"ZOOL",0.0050761421319797
"AENG",0.00338409475465313
"BTEC",0.00338409475465313
"BUSU",0.00338409475465313
"EHSG",0.00338409475465313
"HIST",0.00338409475465313
"INSS",0.00338409475465313
"PH",0.00338409475465313
"PHY",0.00338409475465313
"PMKT",0.00338409475465313
"POL",0.00338409475465313
"ADV",0.00169204737732657
"ARCS",0.00169204737732657
"CAG",0.00169204737732657
"CHEM",0.00169204737732657
"CONS",0.00169204737732657
"CRJU",0.00169204737732657
"ELMD",0.00169204737732657
"ENG",0.00169204737732657
"IHS",0.00169204737732657
"ISCI",0.00169204737732657
"MEDT",0.00169204737732657
"OPMG",0.00169204737732657
"PENT",0.00169204737732657
"PMMT",0.00169204737732657
"POMT",0.00169204737732657
"PSPA",0.00169204737732657
"THEA",0.00169204737732657
