"F6SEQ2_MAJOR","S6SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.333333333333333
"ACCT","E",0.666666666666667
"AENG","AENG",1
"BAD","E",1
"BMGT","BMGT",0.833333333333333
"BMGT","E",0.111111111111111
"BMGT","IGST",0.0555555555555556
"CHEM","CHEM",1
"CIS","CIS",1
"COMM","COMM",1
"CRJU","CRJU",0.5
"CRJU","E",0.5
"DS","E",1
"E","COMM",0.00380952380952381
"E","E",0.986666666666667
"E","ECON",0.0019047619047619
"E","ENTR",0.0019047619047619
"E","MKTG",0.0019047619047619
"E","NONE",0.00380952380952381
"EAHE","EAHE",1
"ECON","E",1
"EDST","E",1
"ENG","MKTG",1
"ENTR","E",0.5
"ENTR","ENTR",0.5
"FIN","E",1
"FM","FM",0.5
"FM","PHY",0.5
"GBUS","MKTG",1
"HTM","HTM",1
"IGST","E",1
"MKTG","E",0.5
"MKTG","MKTG",0.5
"NONE","NONE",1
"NURS","NURS",1
"PADM","PADM",1
"PH","PH",1
"POL","E",1
"PR","PR",1
"SPAD","SPAD",1
"SRCM","E",1
"TECH","TECH",1
